Unnamed: 0,Original_Dataset,GPT3.5_Dataset,CharacterSwapping_Dataset,SynonymReplacement_Dataset,RandomDeletion_Dataset
Training Accuracy,0.941784918,0.96453625,0.957109451,0.960296512,0.96161288
Testing Accuracy,0.797948718,0.778222144,0.849924207,0.900491178,0.909694076
Micro F1 Score,0.797948718,0.778222141,0.849924204,0.900491177,0.909694066
Macro F1 Score,0.728898042,0.722130998,0.81753484,0.900340413,0.909650072
Precision for Negative sentiment,0.831688055,0.870095125,0.848392037,0.934059286,0.932400932
Precision for Positive sentiment,0.701388889,0.582644628,0.891432309,0.849822425,0.880580958
Precision for Neutral sentiment,0.740899358,0.700107875,0.721276596,0.924185798,0.917882226
Recall for Negative sentiment,0.918256131,0.849144183,0.905722071,0.841416894,0.871934605
Recall for Positive sentiment,0.4910859,0.610918544,0.826060606,0.916803503,0.908939478
Recall for Neutral sentiment,0.731501057,0.721111111,0.716701903,0.943324251,0.949162011
