Unnamed: 0,Original_Dataset,GPT3.5_Dataset,CharacterSwapping_Dataset,RandomDeletion_Dataset,SynonymReplacement_Dataset
Training Accuracy,0.9882885813713074,0.9940394759178162,0.9905874729156494,0.9868202805519104,0.9884482622146606
Testing Accuracy,0.5641025900840759,0.2715869843959808,0.4342607855796814,0.4423147737979889,0.44842642545700073
Micro F1 Score,0.5641025641025641,0.2715869841846937,0.4342607746863066,0.4423147806855879,0.4484264144078588
Macro F1 Score,0.4108706079883847,0.2678051210343303,0.4316466404645269,0.4370261899011503,0.44251808775865337
Precision for Negative sentiment,0.6653974297953356,0.6234347048300537,0.4204286365709074,0.4255060728744939,0.4307753164556962
Precision for Positive sentiment,0.2883211678832116,0.2358012170385395,0.4052805280528053,0.4279630943931866,0.4214586255259467
Precision for Neutral sentiment,0.3405797101449275,0.1377021982579842,0.4757118927973199,0.4822236586942469,0.5022683084899546
Recall for Negative sentiment,0.7618528610354224,0.2022048157818392,0.5024523160762943,0.5727520435967303,0.5934604904632153
Recall for Positive sentiment,0.2560777957860616,0.4029462738301559,0.3358862144420131,0.3348139922265408,0.3289545703338807
Recall for Neutral sentiment,0.1987315010570824,0.3688888888888889,0.4640522875816993,0.4167597765363128,0.4223433242506812
