Unnamed: 0,Original_Dataset,SynonymReplacement_Dataset,RandomDeletion_Dataset,CharacterSwapping_Dataset,GPT3.5_Dataset
Training Accuracy,0.8278338313102722,0.9175004363059998,0.9187096953392028,0.8308930397033691,0.9600964784622192
Testing Accuracy,0.6256410479545593,0.5111879110336304,0.4771470725536346,0.5064557194709778,0.40447190403938293
Micro F1 Score,0.6256410256410256,0.5111879206840094,0.477147069664578,0.5064557192216766,0.4044719141974187
Macro F1 Score,0.5084781165120522,0.5114187225096218,0.4775104706611319,0.5036259382013518,0.3279957121676988
Precision for Negative sentiment,0.7357998957790516,0.5121698601760746,0.4575518262586377,0.4959069366652305,0.6899641577060932
Precision for Positive sentiment,0.3833116036505867,0.4751439037153322,0.4496644295302013,0.4669603524229075,0.24396336386344714
Precision for Neutral sentiment,0.5188284518828452,0.5516616314199396,0.5406698564593302,0.5770925110132159,0.11418685121107267
Recall for Negative sentiment,0.7694822888283379,0.5389645776566757,0.5051771117166213,0.6272479564032698,0.44676530316217
Recall for Positive sentiment,0.4764991896272285,0.4969896004378763,0.4836202109938923,0.4638949671772429,0.5077989601386482
Recall for Neutral sentiment,0.2621564482029598,0.4975476839237057,0.4418994413407821,0.4281045751633986,0.11
