Unnamed: 0,Original_Dataset,CharacterSwapping_Dataset,RandomDeletion_Dataset,SynonymReplacement_Dataset,GPT3.5_Dataset
Training Accuracy,0.8342594504356384,0.8225998878479004,0.834274172782898,0.8313246369361877,0.9101353883743286
Testing Accuracy,0.7699145078659058,0.761411190032959,0.7609657049179077,0.7665999531745911,0.7347754836082458
Micro F1 Score,0.7699145299145299,0.7614111656664847,0.7609657206044969,0.766599963616518,0.7347754953644792
Macro F1 Score,0.701507359364231,0.7612905512954539,0.7607480819780541,0.766477437165849,0.656068860966963
Precision for Negative sentiment,0.8366388308977035,0.7774663677130045,0.7802944507361268,0.7807308970099668,0.8197869955156951
Precision for Positive sentiment,0.5952380952380952,0.7188689505165851,0.7160356347438753,0.722252597047567,0.5275665399239544
Precision for Neutral sentiment,0.7102137767220903,0.7878464818763327,0.7859442060085837,0.7964554242749732,0.637911464245176
Recall for Negative sentiment,0.8735694822888284,0.755858310626703,0.7509536784741144,0.7683923705722071,0.8485639686684073
Recall for Positive sentiment,0.5672609400324149,0.7231947483588621,0.714047751249306,0.7230432402846196,0.4809358752166378
Recall for Neutral sentiment,0.6321353065539113,0.8050108932461874,0.8184357541899442,0.808174386920981,0.6244444444444445
