Unnamed: 0,Original_Dataset,RandomDeletion_Dataset,CharacterSwapping_Dataset,SynonymReplacement_Dataset,GPT3.5_Dataset,BackTranslation_Dataset
Training Accuracy,0.8911779522895813,0.8999999761581421,0.897371768951416,0.9371020793914796,0.9369824528694152,0.9172067642211914
Testing Accuracy,0.5856410264968872,0.4880206286907196,0.5117294192314148,0.5122794508934021,0.3797491490840912,0.5063892006874084
Micro F1 Score,0.5856410256410256,0.488020641356432,0.5117294053464266,0.512279425140986,0.3797491365206326,0.5063891931361811
Macro F1 Score,0.4887778890112084,0.4881692440380327,0.5103853639663504,0.5132715246064047,0.3183625929989171,0.5026092064476811
Precision for Negative sentiment,0.7145993413830956,0.489648033126294,0.5043597980725103,0.5025582717453099,0.6879361914257228,0.4868913857677903
Precision for Positive sentiment,0.3274780426599749,0.4539614561027837,0.4627606752730884,0.4614331355545413,0.2377115229653505,0.4817150063051702
Precision for Neutral sentiment,0.4901960784313725,0.5252152521525215,0.599540581929556,0.5953458306399483,0.1174728529121421,0.5641370047011417
Recall for Negative sentiment,0.7095367847411445,0.5155313351498637,0.5989100817438692,0.4817438692098093,0.4003481288076588,0.6376021798365122
Recall for Positive sentiment,0.4230145867098865,0.4708495280399778,0.5098468271334792,0.5533661740558292,0.511265164644714,0.4218663721700718
Recall for Neutral sentiment,0.3171247357293869,0.4770949720670391,0.4264705882352941,0.5019073569482289,0.1322222222222222,0.4585152838427948
